,Meta Data,Time Series (30min)
1. Information,"Intraday (30min) open, high, low, close prices and volume",
2. Symbol,ANET,
3. Last Refreshed,2025-02-28 19:30:00,
4. Interval,30min,
5. Output Size,Compact,
6. Time Zone,US/Eastern,
2025-02-27 05:00:00,,"{'1. open': '99.4900', '2. high': '99.7800', '3. low': '99.2500', '4. close': '99.7000', '5. volume': '2587'}"
2025-02-27 04:30:00,,"{'1. open': '98.9000', '2. high': '99.4900', '3. low': '98.9000', '4. close': '99.4500', '5. volume': '2128'}"
2025-02-27 04:00:00,,"{'1. open': '98.4000', '2. high': '99.0800', '3. low': '98.4000', '4. close': '98.9900', '5. volume': '3089'}"
2025-02-26 19:30:00,,"{'1. open': '97.8000', '2. high': '97.8000', '3. low': '97.0162', '4. close': '97.5000', '5. volume': '7108'}"
2025-02-26 19:00:00,,"{'1. open': '96.3800', '2. high': '98.0000', '3. low': '96.3800', '4. close': '97.3500', '5. volume': '587226'}"
2025-02-26 18:30:00,,"{'1. open': '96.3800', '2. high': '98.0000', '3. low': '96.3800', '4. close': '97.6000', '5. volume': '586607'}"
2025-02-26 18:00:00,,"{'1. open': '98.0750', '2. high': '98.6500', '3. low': '97.0000', '4. close': '97.5000', '5. volume': '7351'}"
2025-02-26 17:30:00,,"{'1. open': '98.5000', '2. high': '98.8800', '3. low': '98.0000', '4. close': '98.3400', '5. volume': '14864'}"
2025-02-26 17:00:00,,"{'1. open': '98.5000', '2. high': '98.9500', '3. low': '98.0000', '4. close': '98.5000', '5. volume': '28576'}"
2025-02-26 16:30:00,,"{'1. open': '97.0000', '2. high': '98.7000', '3. low': '96.3500', '4. close': '98.4900', '5. volume': '32266'}"
2025-02-26 16:00:00,,"{'1. open': '96.4100', '2. high': '97.9000', '3. low': '90.3500', '4. close': '97.5000', '5. volume': '2005303'}"
2025-02-26 15:30:00,,"{'1. open': '96.3600', '2. high': '96.9500', '3. low': '96.1800', '4. close': '96.4100', '5. volume': '1370340'}"
2025-02-26 15:00:00,,"{'1. open': '95.8200', '2. high': '96.5100', '3. low': '95.6900', '4. close': '96.3800', '5. volume': '454938'}"
2025-02-26 14:30:00,,"{'1. open': '96.1500', '2. high': '96.4700', '3. low': '95.8000', '4. close': '95.8150', '5. volume': '402845'}"
2025-02-26 14:00:00,,"{'1. open': '95.8400', '2. high': '96.5300', '3. low': '95.5200', '4. close': '96.1550', '5. volume': '547478'}"
2025-02-26 13:30:00,,"{'1. open': '96.6200', '2. high': '97.0200', '3. low': '95.6506', '4. close': '95.8800', '5. volume': '576121'}"
2025-02-26 13:00:00,,"{'1. open': '96.9200', '2. high': '97.2100', '3. low': '96.5900', '4. close': '96.6350', '5. volume': '722771'}"
2025-02-26 12:30:00,,"{'1. open': '97.5600', '2. high': '97.6600', '3. low': '96.7900', '4. close': '96.9650', '5. volume': '578396'}"
2025-02-26 12:00:00,,"{'1. open': '97.1000', '2. high': '97.7200', '3. low': '97.0100', '4. close': '97.5500', '5. volume': '495829'}"
2025-02-26 11:30:00,,"{'1. open': '97.0200', '2. high': '97.5900', '3. low': '96.9701', '4. close': '97.1000', '5. volume': '514797'}"
2025-02-26 11:00:00,,"{'1. open': '97.5300', '2. high': '97.7400', '3. low': '96.9700', '4. close': '97.0100', '5. volume': '738948'}"
2025-02-26 10:30:00,,"{'1. open': '96.2714', '2. high': '97.6700', '3. low': '96.2714', '4. close': '97.5300', '5. volume': '848404'}"
2025-02-26 10:00:00,,"{'1. open': '95.8800', '2. high': '97.2300', '3. low': '95.5000', '4. close': '96.2850', '5. volume': '1374598'}"
2025-02-26 09:30:00,,"{'1. open': '95.7550', '2. high': '96.8700', '3. low': '94.5301', '4. close': '95.9250', '5. volume': '1521136'}"
2025-02-26 09:00:00,,"{'1. open': '96.0000', '2. high': '96.2000', '3. low': '95.5000', '4. close': '95.5100', '5. volume': '32363'}"
2025-02-26 08:30:00,,"{'1. open': '96.3600', '2. high': '96.4500', '3. low': '95.5500', '4. close': '95.7100', '5. volume': '26606'}"
2025-02-26 08:00:00,,"{'1. open': '94.7322', '2. high': '96.6900', '3. low': '92.8800', '4. close': '96.3300', '5. volume': '51837'}"
2025-02-26 07:30:00,,"{'1. open': '95.6500', '2. high': '96.0300', '3. low': '95.6100', '4. close': '96.0300', '5. volume': '24236'}"
